,Superior,MI-Huron,Erie,Ontario,St. Clair
Monthly,NA,NA,NA,NA,NA
1-Year,0.989498249708285,0.991831971995333,0.996499416569428,0.996499416569428,0.996499416569428
5-Year,0.919653893695921,0.967861557478368,0.978986402966625,0.995055624227441,0.996291718170581
