,Superior,MI-Huron,Erie,Ontario,St. Clair
Monthly,0.913594470046083,0.764976958525346,0.91705069124424,0.79147465437788,1
1-Year,0.995332555425904,0.99416569428238,1,1,1
5-Year,0.941903584672435,0.972805933250927,0.987639060568603,0.99876390605686,1
