superiorPrecipUSACE.AHPS,0.3695,0.195866666666667,0.4214,0.417333333333333,0.448366666666667,0.530333333333333,0.315333333333333,0.3989,0.2921,0.457233333333333,0.309566666666667,0.3882
superiorPrecipECCC.WCPS,0.860888888888889,0.998,0.928666666666667,0.999555555555556,0.977,0.7475,0.942416666666667,0.7555,0.989583333333333,0.9525,0.988666666666667,0.99475
superiorPrecipECCC.CaPA,0.952033333333333,0.898166666666667,0.593166666666667,0.68,0.361266666666667,0.3557,0.375166666666667,0.4569,0.377166666666667,0.8006,0.980666666666667,0.996933333333333
superiorPrecipNWS.MPE,0.00293333333333333,0.2897,0.1863,0.5489,0.4522,0.371533333333333,0.363433333333333,0.2236,0.260666666666667,0.472166666666667,0.0328666666666667,0.138466666666667
superiorPrecipHistorical.Coordinated,0.771777777777778,0.47,0.338833333333333,0.455111111111111,0.464888888888889,0.497722222222222,0.473388888888889,0.257166666666667,0.542055555555556,0.769222222222222,0.701777777777778,0.827388888888889
superiorPrecipUSACE.Thiessen,0,0.0693333333333333,0.172222222222222,0.0395555555555556,0.338444444444444,0.846555555555556,0.302333333333333,0.00911111111111111,0.604555555555556,0.00255555555555556,0.163833333333333,0.000916666666666667
superiorEvapUSACE.AHPS,0.827966666666667,0.922733333333333,0.731833333333333,0.8514,0.612866666666667,0.7997,0.880833333333333,0.843033333333333,0.6234,0.847166666666667,0.8275,0.9315
superiorEvapECCC.WCPS,0.8,0.788222222222222,0.529222222222222,0.957444444444444,0.795444444444444,0.640166666666667,0.918833333333333,0.98375,0.83525,0.999833333333333,0.9875,0.855583333333333
superiorEvapGLERL.FVCOM,0.996,1,0.976,0.998,1,1,1,1,1,0.994333333333333,0.737333333333333,0.0638333333333333
superiorRunoffNOAA.GLERL.GLM.HMD,0.999952380952381,0.999476190476191,0.996333333333333,0.861722222222222,0.657388888888889,0.576611111111111,0.7235,0.938888888888889,0.842055555555556,0.901333333333333,0.988722222222222,0.999888888888889
superiorRunoffUSACE.AHPS,0.992833333333333,0.9976,0.923666666666667,0.641733333333333,0.503666666666667,0.5585,0.729433333333333,0.8598,0.9577,0.9827,0.9889,0.913333333333333
superiorRunoffECCC.WCPS,0.999888888888889,0.997444444444444,0.965444444444444,0.537,0.000111111111111111,0.708083333333333,1,1,1,0.987583333333333,0.60525,0.9815
superiorRunoffECCC.WATFLOOD,0.997133333333333,0.912133333333333,0.900733333333333,0.999166666666667,0.685433333333333,0.6152,0.6039,0.396766666666667,0.509566666666667,0.770433333333333,0.994366666666667,1
superiorRunoffECCC.SWAT,0.280333333333333,0.0187333333333333,0.274566666666667,0.990033333333333,0.8874,0.7338,0.7771,0.66,0.931733333333333,0.951366666666667,0.999733333333333,0.928533333333333
superiorRunoffUSACE.GLSHFS,1,0.999966666666667,0.9999,0.759133333333333,0.499966666666667,0.856633333333333,0.9882,0.9766,0.997533333333333,0.999233333333333,1,1
superiorOutflowSt.Marys..IGS.,0.4067,0.2968,0.253266666666667,0.567833333333333,0.627133333333333,0.698933333333333,0.680966666666667,0.582133333333333,0.4938,0.385966666666667,0.3979,0.604533333333333
superiorOutflowSt..Marys..Flow.Accounting.,0.5852,0.729966666666667,0.7511,0.429533333333333,0.375366666666667,0.2681,0.304233333333333,0.441866666666667,0.5185,0.6323,0.606266666666667,0.4099
superiorDiversionMonthly.Mean,0.513633333333333,0.513533333333333,0.514966666666667,0.5106,0.505266666666667,0.506866666666667,0.508133333333333,0.509733333333333,0.511133333333333,0.511233333333333,0.508566666666667,0.505633333333333
miHuronPrecipUSACE.AHPS,0.0831,0.0483666666666667,0.124533333333333,0.474866666666667,0.4451,0.521566666666667,0.6296,0.791633333333333,0.240366666666667,0.238466666666667,0.1925,0.2201
miHuronPrecipECCC.WCPS,1,1,1,1,1,1,1,1,1,1,1,1
miHuronPrecipECCC.CaPA,0.988733333333333,0.9692,0.699,0.820433333333333,0.233766666666667,0.240033333333333,0.1958,0.670933333333333,0.321433333333333,0.719766666666667,0.974633333333333,0.9962
miHuronPrecipNWS.MPE,0.223166666666667,0.271333333333333,0.3366,0.767033333333333,0.6552,0.619,0.701766666666667,0.7255,0.383033333333333,0.4207,0.448633333333333,0.414966666666667
miHuronPrecipHistorical.Coordinated,0.705444444444444,0.485888888888889,0.265166666666667,0.925888888888889,0.481944444444444,0.700777777777778,0.8905,0.988944444444444,0.688222222222222,0.945444444444444,0.691,0.853666666666667
miHuronPrecipUSACE.Thiessen,0,0.0191111111111111,0.00922222222222222,0.317555555555556,0.0301111111111111,0.118777777777778,0.18,0.664444444444444,0.148222222222222,0.0681111111111111,0.184166666666667,0.0465
miHuronEvapUSACE.AHPS,0.938433333333333,0.8619,0.702733333333333,0.882833333333333,0.8758,0.9988,0.9793,0.847566666666667,0.729,0.7509,0.7111,0.763566666666667
miHuronEvapECCC.WCPS,0.999888888888889,0.997333333333333,0.929555555555556,0.679333333333333,0.970666666666667,1,1,0.9995,1,1,0.999083333333333,0.936666666666667
miHuronEvapGLERL.FVCOM,0.995666666666667,0.9955,0.954666666666667,1,1,1,1,1,0.885666666666667,1,0.989166666666667,0.6955
miHuronRunoffNOAA.GLERL.GLM.HMD,0.732952380952381,0.760380952380952,0.617095238095238,0.4345,0.384111111111111,0.338555555555556,0.302777777777778,0.429333333333333,0.4955,0.701722222222222,0.7475,0.725333333333333
miHuronRunoffUSACE.AHPS,0.432366666666667,0.473833333333333,0.191733333333333,0.234933333333333,0.417266666666667,0.4064,0.157766666666667,0.363366666666667,0.506633333333333,0.718466666666667,0.612533333333333,0.527966666666667
